4,998,dump
#
# used SQL: SELECT ROOMS,LIVINGSPACE,PRICE,YEAR FROM LANGNER.REALESTATES_HAMBURG WHERE (ROOMS IS NOT NULL) AND (LIVINGSPACE IS NOT NULL) AND (PRICE IS NOT NULL) AND (YEAR IS NOT NULL)
#
0.048611112,0.12753433,0.9197422,0.99950224
0.048611112,0.19293655,0.9197422,0.99352914
0.0625,0.15369523,0.9197422,0.975112
0.048611112,0.293656,0.9197422,0.9437531
0.104166664,0.3204709,0.9197422,0.9940269
0.034722224,0.088293,0.921695,0.98805374
0.07638889,0.18116416,0.9226714,0.9487307
0.048611112,0.12230216,0.9226714,0.99950224
0.048611112,0.12753433,0.9236477,0.9721254
0.07638889,0.19293655,0.9244288,0.9512195
0.041666668,0.12753433,0.9246241,0.97710305
0.041666668,0.19293655,0.9246241,0.99950224
0.11111111,0.33420536,0.92560047,0.9860627
0.055555556,0.13603662,0.92579573,0.9990045
0.038194444,0.10856769,0.9269674,0.9990045
0.027777778,0.10137345,0.92722124,0.99950224
0.06944445,0.22432962,0.92755324,0.9800896
0.055555556,0.22563767,0.92755324,0.9392733
0.034722224,0.13734467,0.92755324,0.9965157
0.0625,0.22236755,0.92755324,0.9452464
0.055555556,0.15107913,0.92755324,0.9950224
0.034722224,0.09679529,0.92755324,0.9975112
0.0625,0.19947678,0.9277485,0.98307616
0.041666668,0.12884238,0.9277485,0.99352914
0.048611112,0.19293655,0.9277485,0.98307616
0.048611112,0.19293655,0.9277485,0.98307616
0.055555556,0.19293655,0.9277485,0.98307616
0.055555556,0.19293655,0.9277485,0.98307616
0.048611112,0.19293655,0.92794377,0.98307616
0.041666668,0.15369523,0.92852956,0.95171726
0.03125,0.09875736,0.9310682,0.9990045
0.03125,0.09875736,0.9310682,0.9990045
0.034722224,0.103335515,0.9314587,0.987556
0.027777778,0.10529758,0.93184924,0.9965157
0.065972224,0.15369523,0.9334114,0.975112
0.0625,0.15565729,0.98047256,0.9825784
0.034722224,0.11314585,0.93360674,0.99800897
0.055555556,0.17985612,0.93360674,0.9800896
0.027777778,0.08502289,0.9355614,0.99950224
0.034722224,0.09025507,0.93731695,0.9696366
0.055555556,0.17985612,0.9375122,0.9810851
0.034722224,0.11118378,0.9375122,0.98456943
0.034722224,0.15369523,0.9375122,0.9840717
0.041666668,0.107913665,0.9375903,0.9990045
0.027777778,0.107259646,0.9377075,0.989547
0.055555556,0.19293655,0.9382933,0.9825784
0.06944445,0.16677567,0.9382933,0.9487307
0.041666668,0.10137345,0.9382933,0.99601793
0.041666668,0.15369523,0.9382933,0.99452466
0.034722224,0.1059516,0.9382933,0.9850672
0.055555556,0.12099411,0.9382933,0.9756098
0.041666668,0.147155,0.9382933,0.99950224
0.020833334,0.062132113,0.9382933,0.9183673
0.034722224,0.08502289,0.9382933,0.9850672
0.041666668,0.12164813,0.9396602,0.99054253
0.055555556,0.124264225,0.94024605,0.9815829
0.048611112,0.147155,0.94024605,0.9790941
0.034722224,0.095487244,0.9403632,0.9990045
0.072916664,0.14192283,0.9412224,0.9736187
0.041666668,0.103335515,0.9412224,0.95520157
0.055555556,0.16023545,0.9421988,0.9840717
0.034722224,0.09875736,0.9421988,0.9955202
0.083333336,0.19032048,0.9421988,0.9910403
0.045138888,0.088293,0.9421988,0.9581882
0.06944445,0.12753433,0.9421988,0.9442509
0.055555556,0.15042512,0.9421988,0.98456943
0.041666668,0.13996077,0.9421988,0.9915381
0.041666668,0.12753433,0.94317514,0.95619714
0.041666668,0.112491824,0.94317514,0.9965157
0.045138888,0.1733159,0.94317514,0.98208064
0.041666668,0.107913665,0.94337046,0.97610754
0.06944445,0.17004578,0.9441515,0.98805374
0.041666668,0.11118378,0.9451279,0.9990045
0.034722224,0.08175278,0.94551843,0.9900448
0.041666668,0.11314585,0.9470807,0.989547
0.048611112,0.16023545,0.9470807,0.97959185
0.048611112,0.088293,0.9470807,0.9581882
0.041666668,0.12753433,0.9470807,0.989547
0.027777778,0.07586658,0.9470807,0.9950224
0.034722224,0.1733159,0.94727594,0.9955202
0.041666668,0.13407455,0.94727594,0.9990045
0.041666668,0.16481361,0.94727594,0.9870582
0.048611112,0.14061478,0.94727594,0.97610754
0.041666668,0.10137345,0.94727594,0.96316576
0.034722224,0.09810334,0.94727594,0.97610754
0.048611112,0.16023545,0.948057,0.9900448
0.048611112,0.12753433,0.94887716,0.0
0.034722224,0.10137345,0.94922864,0.99950224
0.083333336,0.25833878,0.9511814,0.950224
0.027777778,0.17985612,0.95196253,0.9910403
0.041666668,0.14584696,0.95196253,0.99352914
0.06944445,0.14061478,0.95196253,0.95072174
0.034722224,0.09156311,0.95196253,0.9835739
0.034722224,0.10137345,0.9521578,0.99950224
0.041666668,0.11445389,0.95293885,0.9840717
0.034722224,0.094833225,0.95293885,0.9990045
0.041666668,0.11445389,0.95293885,0.96067697
0.027777778,0.07521256,0.95293885,0.96665007
0.055555556,0.11837803,0.95391524,0.9990045
0.034722224,0.094833225,0.95391524,0.9990045
0.034722224,0.08306082,0.95391524,0.9990045
0.048611112,0.12818836,0.9541105,0.99950224
0.048611112,0.10856769,0.954794,0.99950224
0.034722224,0.094833225,0.9548916,0.99950224
0.034722224,0.086984955,0.9548916,0.99950224
0.041666668,0.088293,0.9548916,0.99950224
0.083333336,0.17985612,0.9568444,0.95868593
0.048611112,0.09156311,0.9568444,0.9756098
0.034722224,0.107913665,0.95703965,0.9990045
0.055555556,0.15369523,0.95703965,0.9815829
0.038194444,0.11445389,0.95703965,0.99054253
0.048611112,0.15369523,0.95703965,0.98556495
0.041666668,0.17985612,0.9572349,0.98805374
0.041666668,0.11052976,0.9572349,0.9940269
0.038194444,0.088293,0.9572349,0.96316576
0.048611112,0.17985612,0.9572349,0.98805374
0.034722224,0.09287116,0.9572349,0.9850672
0.048611112,0.085676916,0.9572349,0.9467397
0.041666668,0.11445389,0.9572349,0.99950224
0.07638889,0.13603662,0.9572349,0.9477352
0.041666668,0.10137345,0.95733255,0.9990045
0.034722224,0.08306082,0.9578207,0.989547
0.048611112,0.12099411,0.9578207,0.9990045
0.048611112,0.14061478,0.9578207,0.9810851
0.045138888,0.124264225,0.9578207,0.9950224
0.034722224,0.124264225,0.9578207,0.975112
0.041666668,0.116415955,0.9578207,0.94325536
0.06944445,0.25506866,0.9578207,0.9850672
0.06944445,0.25506866,0.9578207,0.9850672
0.041666668,0.08175278,0.9578207,0.9721254
0.041666668,0.107913665,0.9578207,0.9776008
0.034722224,0.112491824,0.9578207,0.9776008
0.0625,0.10137345,0.9587971,0.95968145
0.07638889,0.08306082,0.9587971,0.97461426
0.06944445,0.18378025,0.95899236,0.9915381
0.048611112,0.12753433,0.95938295,0.99950224
0.027777778,0.09810334,0.95961726,0.9990045
0.03125,0.078482665,0.9597735,0.9611747
0.034722224,0.10464356,0.960413,0.99950224
0.041666668,0.13145848,0.96074986,0.9741165
0.048611112,0.19947678,0.96074986,0.9776008
0.041666668,0.06736429,0.96074986,0.9487307
0.041666668,0.06736429,0.96074986,0.9487307
0.041666668,0.06736429,0.96074986,0.9487307
0.048611112,0.12099411,0.96074986,0.94723743
0.06944445,0.16023545,0.96074986,0.952215
0.041666668,0.11445389,0.96074986,0.99950224
0.048611112,0.10137345,0.9611404,0.9990045
0.055555556,0.17724003,0.9615309,0.94723743
0.041666668,0.086984955,0.96172625,0.98456943
0.0625,0.19751471,0.96172625,0.99950224
0.034722224,0.09090909,0.961941,0.99950224
0.03125,0.08436887,0.9621168,0.99950224
0.027777778,0.0706344,0.9626245,0.99950224
0.034722224,0.10137345,0.9628979,0.98904926
0.034722224,0.14061478,0.9629076,0.0
0.034722224,0.10202747,0.96309316,0.99950224
0.041666668,0.088293,0.96309316,0.9990045
0.027777778,0.116415955,0.96309316,0.99950224
0.027777778,0.09156311,0.9631088,0.9990045
0.041666668,0.11445389,0.96367896,0.9840717
0.041666668,0.11445389,0.96367896,0.99601793
0.055555556,0.1733159,0.96367896,0.9780986
0.055555556,0.15369523,0.96367896,0.9785963
0.034722224,0.10922171,0.96367896,0.989547
0.041666668,0.15369523,0.96367896,0.95171726
0.034722224,0.1059516,0.96367896,0.99950224
0.041666668,0.15369523,0.96367896,0.99203587
0.055555556,0.147155,0.96367896,0.950224
0.034722224,0.088293,0.9638742,0.99950224
0.055555556,0.15696533,0.9648506,0.98208064
0.055555556,0.11445389,0.9648506,0.9860627
0.034722224,0.09090909,0.9660418,0.99950224
0.034722224,0.12753433,0.9661199,0.99950224
0.041666668,0.09025507,0.9662175,0.99950224
0.055555556,0.19686069,0.9666081,0.85515183
0.020833334,0.088293,0.9666081,0.9756098
0.055555556,0.12753433,0.9666081,0.9721254
0.048611112,0.09941138,0.9666081,0.99950224
0.034722224,0.1294964,0.9666081,0.975112
0.048611112,0.088293,0.9666081,0.962668
0.041666668,0.1000654,0.9668034,0.9776008
0.027777778,0.08175278,0.9668034,0.9915381
0.027777778,0.08175278,0.9668034,0.9915381
0.041666668,0.094833225,0.96699864,0.9477352
0.027777778,0.088293,0.96699864,0.9990045
0.034722224,0.09679529,0.96699864,0.99950224
