7,1011,dump
#
# used SQL: SELECT CPU_TYPE,CPU_SPEED,RAM_INSTALLED,HARD_DRIVE,SCREEN_SIZE,WEIGHT,BEST_PRICE FROM NOTEBOOKS_SHOPPINGCOM.PRODUCTS_TEST WHERE (CPU_TYPE IS NOT NULL) AND (CPU_SPEED IS NOT NULL) AND (RAM_INSTALLED IS NOT NULL) AND (HARD_DRIVE IS NOT NULL) AND (SCREEN_SIZE IS NOT NULL) AND (WEIGHT IS NOT NULL) AND (BEST_PRICE IS NOT NULL) AND BEST_PRICE>50
#
0.0,0.5092593,0.48387095,0.038945183,0.7941177,0.9801279,0.87980795
0.0,0.5092593,0.48387095,0.038945183,0.8235294,0.9843593,0.8796912
0.0,0.32407406,0.09677419,0.019411549,0.38235295,0.9947029,0.9427657
0.0,0.23148148,0.22580644,0.030399218,0.50000006,0.9932924,0.92696905
0.0,0.6296296,1.0,0.12196313,0.9191176,0.9763666,0.86492705
0.0,0.35185185,0.09677419,0.019411549,0.38970593,0.9944521,0.96337
0.0,0.1388889,0.48387095,0.06092052,0.7941177,0.986428,0.9084297
0.0,0.44444445,0.22580644,0.01452814,0.53676474,0.99297893,0.5208664
0.0,0.5092593,0.3548387,0.038945183,0.89705884,0.98125625,0.87408453
0.0,0.37037036,0.032258064,0.009644732,0.77941173,0.9842026,0.8843867
0.0,0.6018519,0.22580644,0.030399218,0.7941177,0.984516,0.9336082
0.0,0.23148148,0.48387095,0.038945183,0.7941177,0.9870236,0.82486075
0.0,0.6296296,0.3548387,0.038945183,0.625,0.9895311,0.74359035
0.0,0.2777778,0.09677419,0.01452814,0.77941173,0.9700978,0.85004616
0.0,0.7407407,0.7419355,0.06092052,0.7941177,0.98272943,0.85462487
0.0,0.23148148,0.48387095,0.06092052,0.7941177,0.98514295,0.9152932
0.0,0.8796296,0.7419355,0.0076913685,1.0,0.97260535,0.64094865
0.0,0.32407406,0.7419355,0.06092052,0.7941177,0.9826354,0.7302158
0.0,0.5694444,0.48387095,0.038945183,0.7941177,0.9835757,0.8990982
0.0,0.6018519,0.48387095,0.038945183,0.7941177,0.9857698,0.90156615
0.0,0.6296296,0.48387095,0.06092052,0.8235294,0.9826981,0.8557696
0.0,0.6944444,0.48387095,0.030399218,0.6838236,0.9857698,0.8399706
0.0,0.5092593,0.09677419,0.01452814,0.6838236,0.9863967,0.68979007
0.0,0.5694444,0.48387095,0.038945183,0.7941177,0.9622618,0.7413238
0.0,0.7546296,0.22580644,0.030399218,0.6838236,0.9870236,0.7676264
0.0,0.6018519,0.48387095,0.06092052,0.7941177,0.98470414,0.8946889
