7,1294,dump
#
# used SQL: SELECT CPU_TYPE,CPU_SPEED,RAM_INSTALLED,HARD_DRIVE,SCREEN_SIZE,WEIGHT,BEST_PRICE FROM NOTEBOOKS_SHOPPINGCOM.PRODUCTS_TEST WHERE (CPU_TYPE IS NOT NULL) AND (CPU_SPEED IS NOT NULL) AND (RAM_INSTALLED IS NOT NULL) AND (HARD_DRIVE IS NOT NULL) AND (SCREEN_SIZE IS NOT NULL) AND (WEIGHT IS NOT NULL) AND (BEST_PRICE IS NOT NULL) AND BEST_PRICE>50
#
0.0,0.6227758,0.3043478,0.019411549,0.6228071,0.8485057,0.9049977
0.0,0.6227758,1.0,0.06092052,1.0,0.6973549,0.76818055
0.0,0.8113879,0.13043478,0.038945183,0.7894737,0.8141532,0.79999113
0.0,0.76512456,1.0,0.06092052,0.7894737,0.78804535,0.75527745
0.0,0.48042706,0.13043478,0.0072030276,0.28070176,0.9488148,0.9488215
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.93095154,0.9490439
0.0,0.48042706,0.3043478,0.029178366,0.7368421,0.82445896,0.9982091
0.0,0.6227758,0.47826087,0.030399218,0.7368421,0.83201647,0.97573996
0.0,0.6227758,0.65217394,0.038945183,0.87719303,0.7763655,0.7908922
0.0,0.71530247,0.13043478,0.038945183,0.754386,0.80762625,0.74303955
0.0,0.6939502,0.65217394,0.048712,1.0,0.6973549,0.8471563
0.0,0.48042706,0.13043478,0.019411549,0.2631579,0.9539677,0.94996053
0.0,0.48042706,0.13043478,0.0,0.28070176,0.9357609,0.9506034
0.0,0.48042706,0.13043478,0.0018312782,0.27192986,0.9495019,0.95549774
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.9412573,0.93347126
0.0,0.66903913,0.65217394,0.048712,0.7894737,0.8127791,0.7937131
0.0,0.6939502,0.65217394,0.038945183,0.7894737,0.7901065,0.8776343
0.0,0.6227758,0.47826087,0.06092052,0.7017544,0.83132946,0.9210131
0.0,0.6227758,0.65217394,0.030399218,0.7894737,0.77293026,0.8887643
0.0,0.6939502,0.47826087,0.038945183,0.7894737,0.82445896,0.88875765
0.0,0.85765123,0.47826087,0.038945183,0.6140351,0.85194093,0.753273
0.0,0.6227758,0.65217394,0.06092052,0.7368421,0.84163517,0.8146094
0.0,0.40925267,0.65217394,0.06092052,0.5526316,0.9103401,0.82202643
0.0,0.76512456,0.65217394,0.038945183,0.7894737,0.8141532,0.7844184
0.0,0.6797153,0.65217394,0.030399218,0.7368421,0.81071794,0.8471563
0.0,0.658363,0.65217394,0.038945183,0.754386,0.82995534,0.9043303
0.0,0.5017794,0.47826087,2.4417043E-4,0.7368421,0.8038475,0.9110043
0.0,0.38434163,0.13043478,0.019411549,0.27192986,0.93095154,0.97345746
0.0,0.48042706,0.13043478,0.019411549,0.2631579,0.9412573,0.93947786
0.0,0.76512456,0.65217394,0.030399218,0.6228071,0.84163517,0.80221575
0.0,0.658363,0.65217394,3.6625564E-4,0.7894737,1.0,0.85071355
0.0,0.48042706,0.3043478,0.019411549,0.27192986,0.9343868,0.92306423
0.0,0.658363,0.47826087,0.038945183,0.754386,0.8265201,0.91122454
0.0,0.658363,0.65217394,0.038945183,0.754386,0.8223978,0.85983694
0.0,0.5516014,0.3043478,0.019411549,0.5526316,0.86224663,0.91768277
0.0,0.6227758,0.47826087,0.030399218,0.87719303,0.7602199,0.8665198
0.0,0.48042706,0.3043478,0.038945183,0.5614035,0.93232566,0.8927598
0.0,0.6227758,0.47826087,0.030399218,0.8245614,0.81071794,0.88886887
0.0,0.48042706,0.13043478,0.019411549,0.27192986,0.9412573,0.87874436
0.0,0.6227758,0.65217394,0.038945183,0.87719303,0.7602199,0.8778545
0.0,0.6227758,0.47826087,0.030399218,0.5526316,0.86224663,0.8934272
0.0,0.71530247,0.3043478,0.019411549,0.6228071,0.84163517,0.95705277
0.0,0.8113879,0.65217394,0.038945183,0.7894737,0.83751285,0.8531607
0.0,0.76512456,0.65217394,0.06092052,0.7894737,0.66300243,0.76134634
0.0,0.6227758,0.3043478,0.030399218,0.7368421,0.17176229,0.9154537
0.0,0.658363,0.65217394,0.048712,1.0,0.74888355,0.7330308
0.0,0.76512456,0.3043478,0.019411549,0.44736847,0.92751634,0.7875329
0.0,0.6227758,0.65217394,0.06092052,0.7894737,0.8127791,0.84426427
